Date,Symbol,Column1,Std deviation,Annual std dev,Roc
2026-09-17 15:29,LLOYDSME,3336.5344,1.8785,36.5739,35.4385
2026-09-17 15:29,MANORAMA,3293.7422,2.9273,44.5971,35.6299
2026-09-17 15:29,KERNEX,3276.9978,4.3482,63.0453,54.9519
2026-09-17 15:29,ENTERO,3261.4935,2.7309,40.0404,47.5259
2026-09-17 15:29,NGLFINE,3255.2925,4.0412,57.3782,92.1792
2026-09-17 15:29,ADOR,3156.684,2.3507,38.1712,51.6456
2026-09-17 15:29,SJS,3154.2031,2.0332,36.8011,53.0564
2026-09-17 15:29,CHENNPETRO,3153.5831,3.3185,52.0511,90.4768
2026-09-17 15:29,BLISSGVS,3147.0715,3.5332,59.9839,358.8122
2026-09-17 15:29,DIVGIITTS,3146.1406,3.1345,45.7115,69.1844
2026-09-17 15:29,MAHASTEEL,3102.1088,3.0115,46.8448,208.7733
2026-09-17 15:29,AUROPHARMA,3094.6666,1.6615,26.3993,51.0007
2026-09-17 15:29,NIFTYM150MOMNTM50,3085.679,0.9379,18.193,1.6373
2026-09-17 15:29,INDNIPPON,3062.7275,3.1604,46.5523,27.517
2026-09-17 15:29,LALPATHLAB,2984.8954,2.2025,29.8643,10.8219
2026-09-17 15:29,GLENMARK,2984.2754,1.6719,26.9783,15.8642
2026-09-17 15:29,ARROWGREEN,2948.3056,3.116,52.2776,58.4306
2026-09-17 15:29,SKYGOLD,2933.4215,3.4326,49.038,170.7508
2026-09-17 15:29,SASKEN,2903.0328,4.21,55.0925,14.9599
2026-09-17 15:29,SUDEEPPHRM,2891.8701,3.1191,1.7e+308,1.7e+308
2026-09-17 15:29,ONESOURCE,2853.4189,1.7773,42.0175,-14.1724
2026-09-17 15:29,MANINDS,2850.6282,3.2879,57.4103,85.7369
2026-09-17 15:29,ALIVUS,2823.961,2.1148,30.4629,32.4932
2026-09-17 15:29,NILKAMAL,2805.6651,2.8337,35.7294,22.2548
2026-09-17 15:29,SEAMECLTD,2771.5563,2.416,36.8978,84.3487
2026-09-17 15:29,THEJO,2763.493,2.079,32.0911,15.3773
2026-09-17 15:29,RML,2760.3932,3.3671,43.6641,51.7821
2026-09-17 15:29,SKFINDUS,2758.5328,2.2589,1.7e+308,1.7e+308
2026-09-17 15:29,INNOVACAP,2740.2372,2.2187,34.8345,33.492
2026-09-17 15:29,UFBL,2725.7255,4.5322,65.1152,184.0288
2026-09-17 15:29,SCHNEIDER,2685.352,3.5503,48.9551,34.8404
2026-09-17 15:29,GALAXYSURF,2675.4294,2.7916,36.1079,-6.1773
2026-09-17 15:29,BUILDPRO,2675.4294,2.8065,1.7e+308,1.7e+308
2026-09-17 15:29,YATHARTH,2666.1268,2.1307,38.8848,38.1158
2026-09-17 15:29,CERA,2635.1173,1.9547,27.969,-10.728
2026-09-17 15:29,RPTECH,2633.2573,3.3858,44.1397,153.6309
2026-09-17 15:29,DEEDEV,2630.9009,3.3597,54.7486,121.8179
2026-09-17 15:29,NIFTYINDIAMFG,2583.3383,0.7859,15.4752,3.9388
2026-09-17 15:29,TBZ,2564.7281,5.2576,63.9156,205.755
2026-09-17 15:29,UNIVPHOTO,2557.2241,2.6017,52.8766,137.3864
2026-09-17 15:29,KALYANIFRG,2543.0221,3.7552,51.334,45.6018
2026-09-17 15:29,AMBER,2517.9051,2.517,40.1261,-14.9701
2026-09-17 15:29,BLUESTONE,2503.021,3.3844,53.647,36.4636
2026-09-17 15:29,BEML,2455.2677,2.117,39.7749,-7.5662
2026-09-17 15:29,EMCURE,2444.1051,1.9312,32.618,42.257
2026-09-17 15:29,UNIPARTS,2433.8715,2.4594,42.2338,114.1324
2026-09-17 15:29,AHLWEST,2418.3673,3.3298,51.9134,139.3539
2026-09-17 15:29,CNL,2395.1108,3.3742,1.7e+308,1.7e+308
2026-09-17 15:29,ARMANFIN,2347.3574,2.8108,41.1304,35.2693
2026-09-17 15:29,AVADHSUGAR,2346.1169,3.0448,43.7387,62.2595
2026-09-17 15:29,MBECL,2341.5277,670.551,6700.9721,6791.3511
2026-09-17 15:29,KABRAEXTRU,2314.4261,3.9096,56.6004,134.4387
2026-09-17 15:29,GMMPFAUDLR,2293.4025,2.4815,34.474,21.1158
2026-09-17 15:29,ADANIENSOL,2289.0613,2.2246,40.3338,58.1029
2026-09-17 15:29,ENRIN,2285.34,2.8155,38.7867,-9.5034
2026-09-17 15:29,BSE,2245.0287,2.0134,39.1775,49.3173
2026-09-17 15:29,BHARATFORG,2240.067,1.7842,30.6665,50.7582
2026-09-17 15:29,NINSYS,2238.2069,1.902,44.0876,58.2607
2026-09-17 15:29,ZENTEC,2205.3374,2.5678,38.4015,4.8311
2026-09-17 15:29,E2E,2199.074,3.6332,58.3923,98.8223
2026-09-17 15:29,BOSCH-HCIL,2162.5461,2.2991,36.6945,-5.3393
2026-09-17 15:29,ADVAIT,2160.0652,2.9509,1.7e+308,1.7e+308
