date,time,group,% 3 quarter ago,% 2 quarter ago,% 1 quarter ago,% current quarter,change in % in 3 qtrs,change in % in 1 qtr
2026-09-04,15:29,ETHOSLTD,19.9608,21.246,23.5908,23.9097,3.9489,0.3189
2026-09-04,15:29,EVEREADY,2.6996,2.753,2.7801,2.8351,0.1355,0.055
2026-09-04,15:29,EVIETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EVINDIA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,EXCELINDUS,7.0061,7.0157,7.0223,7.0247,0.0186,0.0024
2026-09-04,15:29,EXIDEIND,18.4607,18.7109,19.1305,19.3011,0.8404,0.1706
2026-09-04,15:29,FACT,9.0097,9.0134,9.0197,9.0277,0.018,0.008
2026-09-04,15:29,FERMENTA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,FIEMIND,10.0518,10.8672,11.4,11.5977,1.5459,0.1977
2026-09-04,15:29,FINIETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,FIVESTAR,12.1651,14.7318,17.5801,22.3547,10.1896,4.7746
2026-09-04,15:29,FLEXIADD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,FMCGADD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,FMCGIETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
