date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtrs
2026-09-04,15:29,ECLERX,53.8093,54.5245,54.5245,54.5245,0.7152
2026-09-04,15:29,EFCIL,45.4581,60.4475,60.4354,56.0797,10.6216
2026-09-04,15:29,EIEL,70.089,70.1313,70.1883,70.1883,0.0993
2026-09-04,15:29,EIHAHOTELS,74.9974,74.9974,74.9974,74.9974,0
2026-09-04,15:29,EIHOTEL,32.8486,32.8486,32.8486,32.8486,0
2026-09-04,15:29,EKC,67.3868,67.3868,67.3868,67.3868,0
2026-09-04,15:29,ELDEHSG,54.829,54.829,54.829,54.829,0
2026-09-04,15:29,ELECON,59.2746,59.2746,59.2746,59.2746,0
2026-09-04,15:29,ELECTCAST,46.2126,46.2126,50.1348,50.1348,3.9222
2026-09-04,15:29,ELGIEQUIP,31.1932,31.1932,31.1932,31.1932,0
2026-09-04,15:29,ELGIRUBCO,65.0344,65.0344,65.0344,65.0344,0
2026-09-04,15:29,EMAMILTD,54.8438,54.8438,54.8438,54.8438,0
2026-09-04,15:29,EMAMIREAL,68.4497,68.4497,68.4497,73.4217,4.972
2026-09-04,15:29,EMKAY,71.6794,71.9094,72.2079,72.828,1.1486
2026-09-04,15:29,EMMBI,62.9358,62.9358,62.9467,62.9467,0.0109
2026-09-04,15:29,ENDURANCE,75,75,75,75,0
2026-09-04,15:29,ENERGYDEV,58.139,58.139,58.139,58.139,0
2026-09-04,15:29,ENGINERSIN,51.3233,51.3233,51.3233,51.3233,0
2026-09-04,15:29,ENIL,71.1519,71.1519,71.1519,71.1519,0
2026-09-04,15:29,ENRIN,74.9999,74.9999,74.9999,74.9999,0
2026-09-04,15:29,EPACKPEB,64.5424,65.0606,64.9628,64.9536,0.4112
2026-09-04,15:29,EQUIPPP,87.3511,87.3511,87.3511,87.3511,0
2026-09-04,15:29,EQUITASBNK,0,0,0,0,0
2026-09-04,15:29,ESCORTS,68.0437,68.0437,68.0437,68.0437,0
2026-09-04,15:29,ETHOSLTD,50.5856,50.5825,50.5856,50.5856,0
2026-09-04,15:29,EUROBOND,63.3796,63.3796,63.9285,63.9285,0.5489
2026-09-04,15:29,EUROPRATIK,70.093,70.093,70.4844,73.9089,3.8159
2026-09-04,15:29,EUROTEXIND,70.9911,70.9911,70.9911,70.9911,0
2026-09-04,15:29,EVEREADY,43.2044,43.2044,43.2044,43.6047,0.4003
2026-09-04,15:29,EVERESTIND,50.2249,50.2249,50.2249,50.2249,0
2026-09-04,15:29,EXIDEIND,45.9947,45.9947,45.9947,45.9947,0
2026-09-04,15:29,EXPLEOSOL,71.0454,71.0454,71.0454,71.0454,0
2026-09-04,15:29,FABTECH,68.941,68.941,68.941,68.941,0
2026-09-04,15:29,FACT,90,90,90,90,0
2026-09-04,15:29,FAIRCHEMOR,61.1926,61.1926,63.2572,63.2572,2.0646
2026-09-04,15:29,FAZE3Q,57.9481,57.9481,58.0061,58.0061,0.058
2026-09-04,15:29,FCSSOFT,19.6521,19.6521,19.6521,19.6521,0
2026-09-04,15:29,FDC,69.6581,69.6581,69.6581,69.6581,0
2026-09-04,15:29,FEL,16.3691,16.3691,16.3691,16.3691,0
2026-09-04,15:29,FELDVR,72.2205,72.2205,72.2205,72.2205,0
2026-09-04,15:29,FIBERWEB,46.3302,46.4242,46.8087,47.0438,0.7136
2026-09-04,15:29,FIEMIND,54.5156,54.5156,54.5156,54.5156,0
2026-09-04,15:29,FILATEX,65.4119,65.3821,65.4721,65.4721,0.0602
2026-09-04,15:29,FINCABLES,35.8581,35.8581,35.8581,35.8581,0
2026-09-04,15:29,FINEORG,74.9984,74.9984,74.9984,74.9984,0
