date,marketcap,52_wk_high__pct,percentage_trading_above_40w__percentage
2026-05-13,midcap,0.6787,
2026-05-13,smallcap,1.1813,
2026-05-14,largecap,6.5395,
2026-05-14,midcap,0.905,
2026-05-14,smallcap,1.2821,
2026-05-15,largecap,6.267,
2026-05-15,midcap,2.2624,
2026-05-15,smallcap,1.3361,
2026-05-18,largecap,2.4523,55.8583
2026-05-18,midcap,1.5837,52.9412
2026-05-18,smallcap,0.9156,37.8942
2026-05-19,largecap,4.9046,
2026-05-19,midcap,1.5837,
2026-05-19,smallcap,0.8214,
2026-05-20,largecap,4.3597,
2026-05-20,midcap,2.0362,
2026-05-20,smallcap,1.0267,
2026-05-21,largecap,6.5395,
2026-05-21,midcap,3.1674,
2026-05-21,smallcap,1.8509,
2026-05-22,largecap,4.6322,
2026-05-22,midcap,3.3937,
2026-05-22,smallcap,1.5393,
2026-05-25,largecap,5.7221,56.6757
2026-05-25,midcap,5.2036,54.5249
2026-05-25,smallcap,1.8744,40.3242
2026-05-26,largecap,5.7221,
2026-05-26,midcap,4.7511,
2026-05-26,smallcap,2.045,
2026-05-27,largecap,11.1717,
2026-05-27,midcap,4.0724,
2026-05-27,smallcap,2.3541,
2026-05-29,largecap,9.5368,
2026-05-29,midcap,5.4299,
2026-05-29,smallcap,3.1697,
2026-06-01,largecap,2.9973,55.0409
2026-06-01,midcap,5.2036,55.4299
2026-06-01,smallcap,1.8237,40.6282
2026-06-02,largecap,1.3624,
2026-06-02,midcap,3.3937,
2026-06-02,smallcap,1.4773,
2026-06-03,largecap,3.8147,
2026-06-03,midcap,4.0724,
2026-06-03,smallcap,1.2245,
2026-06-04,largecap,5.1771,
2026-06-04,midcap,4.0724,
2026-06-04,smallcap,1.783,
2026-06-05,largecap,5.7221,
2026-06-05,midcap,2.9412,
2026-06-05,smallcap,1.8878,
2026-06-08,largecap,3.2698,54.4959
2026-06-08,midcap,3.6199,55.8824
2026-06-08,smallcap,1.6734,40.4665
2026-06-09,largecap,3.5422,
2026-06-09,midcap,2.2624,
2026-06-09,smallcap,1.5849,
2026-06-10,largecap,4.0872,
2026-06-10,midcap,3.1603,
2026-06-10,smallcap,1.6863,
2026-06-11,largecap,1.6349,
2026-06-11,midcap,2.0316,
2026-06-11,smallcap,0.9202,
2026-06-12,largecap,2.7248,
