"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","BCLIND",58.03,58.03,58.23,58.23,0.2
"4th Sep'26 3:29:00","SURAJEST",69.6,69.6,69.8,69.8,0.199
"4th Sep'26 3:29:00","SOMANYCERA",55,55,55.2,55.2,0.193
"4th Sep'26 3:29:00","ROTO",66.61,66.8,66.8,66.8,0.188
"4th Sep'26 3:29:00","NPST",60.29,60.27,60.52,60.48,0.185
"4th Sep'26 3:29:00","JNKINDIA",67.6,67.79,67.79,67.79,0.185
"4th Sep'26 3:29:00","KROSS",68.38,68.38,68.52,68.56,0.184
"4th Sep'26 3:29:00","MAYURUNIQ",58.59,58.59,58.77,58.77,0.182
"4th Sep'26 3:29:00","SUPRAJIT",45.09,45.13,45.14,45.27,0.179
"4th Sep'26 3:29:00","UDS",58.91,59.09,59.09,59.09,0.177
"4th Sep'26 3:29:00","STANLEY",56.7,56.7,56.7,56.88,0.177
"4th Sep'26 3:29:00","NRAIL",74.11,74.11,74.29,74.29,0.176
"4th Sep'26 3:29:00","ROHLTD",63.89,64.06,64.06,64.06,0.171
"4th Sep'26 3:29:00","DISHTV",4.06,4.06,4.06,4.23,0.171
"4th Sep'26 3:29:00","THOMASCOTT",52.15,52.15,52.32,52.32,0.17
"4th Sep'26 3:29:00","ADVENZYMES",43.07,43.04,43.26,43.24,0.167
"4th Sep'26 3:29:00","MBEL",70.45,70.45,70.54,70.61,0.165
"4th Sep'26 3:29:00","RAIN",41.19,41.19,41.35,41.35,0.16
"4th Sep'26 3:29:00","INTLCONV",70.07,69.65,69.86,70.23,0.158
"4th Sep'26 3:29:00","VISAKAIND",53.24,53.24,53.24,53.4,0.156
"4th Sep'26 3:29:00","PARADEEP",57.7,57.7,57.8,57.86,0.155
