date,time,group,column1,std deviation,annual std dev,roc
2026-09-04,15:29,CORDSCABLE,1005.6116,3.7335,49.648,80.8845
2026-09-04,15:29,CORONA,4312.0679,1.9954,1.7e+308,1.7e+308
2026-09-04,15:29,COSMOFIRST,2123.7844,2.3499,40.2721,-4.4957
2026-09-04,15:29,CPCAP,169.6175,3.1382,43.701,-13.0909
2026-09-04,15:29,CPPLUS,14323.5318,2.8629,45.1963,170.7645
2026-09-04,15:29,CRAFTSMAN,26044.1934,2.1041,36.0044,65.3322
2026-09-04,15:29,CREDITACC,312.5677,2.5238,39.6303,7.694
2026-09-04,15:29,CRISIL,1926.26,1.6498,27.501,-4.1115
2026-09-04,15:29,CUB,185.556,2.2518,39.0059,57.466
2026-09-04,15:29,CUMMINSIND,6850.439,1.7936,28.1533,27.8958
2026-09-04,15:29,CUPID,1263.3557,3.0979,57.4828,708.0764
2026-09-04,15:29,CYIENTDLM,3083.5036,2.9345,43.5985,97.4312
2026-09-04,15:29,DALMIASUG,1018.6353,3.1484,44.2377,15.332
2026-09-04,15:29,DATAMATICS,721.5723,2.1916,43.6872,-20.8588
2026-09-04,15:29,DATAPATTNS,14899.6725,3.3411,50.2123,85.1179
2026-09-04,15:29,DBOL,181.2767,2.383,45.0401,46.5643
2026-09-04,15:29,DCBBANK,234.6738,2.0782,39.4332,76.9317
2026-09-04,15:29,DCI,840.4593,3.2591,53.8258,28.2234
2026-09-04,15:29,DCMNVL,356.7239,3.2248,46.9989,12.9596
2026-09-04,15:29,DEEDEV,2900.8624,3.3435,54.0561,140.1934
2026-09-04,15:29,DEEPAKFERT,1131.817,2.5652,41.188,-2.9636
2026-09-04,15:29,DEEPAKNTR,922.8187,1.9318,28.7214,-2.1206
2026-09-04,15:29,DEEPINDS,2740.8576,3.0228,46.4928,43.2644
2026-09-04,15:29,DELHIVERY,439.0829,1.8563,30.5114,-2.3147
2026-09-04,15:29,DENORA,1440.9734,2.6595,41.8773,-2.1384
2026-09-04,15:29,DEVYANI,153.1209,2.5937,39.8962,-22.5017
2026-09-04,15:29,DHAMPURSUG,344.9406,2.6286,38.6626,21.9368
2026-09-04,15:29,DHARMAJ,263.1396,1.8104,35.0635,-27.4839
2026-09-04,15:29,DIACABS,1292.4418,3.451,47.0432,130.0811
2026-09-04,15:29,DIAMONDYD,465.1303,2.328,33.9984,15.6219
2026-09-04,15:29,DICIND,706.0676,2.5268,37.0488,7.5545
2026-09-04,15:29,DIFFNKG,1341.7458,3.2325,48.28,22.2237
2026-09-04,15:29,DIVGIITTS,3968.1815,3.2584,44.8821,83.8851
2026-09-04,15:29,DIVISLAB,19154.0639,1.5519,23.9611,51.4395
2026-09-04,15:29,DIXON,24062.7385,2.337,39.1743,-20.2464
2026-09-04,15:29,DLF,579.5524,1.9107,29.7114,-9.7479
2026-09-04,15:29,DLINKINDIA,490.8674,1.8479,33.0674,-5.33
2026-09-04,15:29,DMART,647.4607,1.5096,24.8422,-21.3485
2026-09-04,15:29,DMCC,458.6185,3.0774,48.9202,-4.8183
2026-09-04,15:29,DOLPHIN,1715.0902,2.8731,54.8649,59.5644
2026-09-04,15:29,DPABHUSHAN,259.8522,3.2896,44.921,-10.3632
2026-09-04,15:29,DREDGECORP,867.6227,3.4131,62.4348,70.1392
2026-09-04,15:29,DSSL,775.8371,3.9498,55.5935,8.4943
2026-09-04,15:29,DVL,194.4243,2.1563,40.5092,-13.8039
2026-09-04,15:29,DYCL,1287.1704,4.3261,58.8447,13.8092
2026-09-04,15:29,DYNAMATECH,23284.4206,2.7891,45.6997,76.202
2026-09-04,15:29,E2E,2471.392,3.6463,58.2163,107.431
2026-09-04,15:29,EBBETF0430,324.6615,0.1899,2.9789,5.1467
2026-09-04,15:29,EBBETF0431,282.5515,0.2445,3.8961,5.3716
2026-09-04,15:29,EBBETF0433,298.3034,0.2463,4.2171,5.0047
2026-09-04,15:29,EBGNG,2165.9566,3.7483,53.794,65.0652
2026-09-04,15:29,EDELWEISS,198.3316,2.4288,40.588,17.0279
2026-09-04,15:29,EICHERMOT,4077.6419,1.4361,27.0379,15.9562
2026-09-04,15:29,EIEL,176.2533,2.977,47.6961,-18.6763
2026-09-04,15:29,EIMCOELECO,4130.3559,2.7599,52.7722,17.1421
2026-09-04,15:29,ELECON,364.352,2.6736,45.4359,-21.6775
2026-09-04,15:29,ELECTHERM,1122.8247,4.6567,62.5782,12.7342
2026-09-04,15:29,ELGIEQUIP,1346.3969,1.8473,33.5662,34.598
2026-09-04,15:29,ELIQUID,188.8426,0.0119,1.7e+308,1.7e+308
2026-09-04,15:29,ELLEN,508.8525,3.1111,48.8371,-36.6094
2026-09-04,15:29,EMAMIPAP,234.3016,3.1353,46.8298,13.1368
2026-09-04,15:29,EMCURE,2460.8487,1.9389,32.5905,40.424
2026-09-04,15:29,EMIL,532.6672,3.1511,47.463,16.5415
2026-09-04,15:29,EMMVEE,786.0702,3.0724,1.7e+308,1.7e+308
2026-09-04,15:29,EMSLIMITED,313.4977,3.7461,55.3313,-33.4058
2026-09-04,15:29,ENDURANCE,2640.6998,1.826,31.9143,-6.2336
2026-09-04,15:29,ENGINERSIN,696.4551,2.668,42.7724,38.8917
2026-09-04,15:29,ENRIN,6141.5802,2.8216,38.5021,-9.0519
2026-09-04,15:29,ENTERO,4150.2019,2.6272,39.6641,51.8823
2026-09-04,15:29,EPACKPEB,291.5436,3.6794,1.7e+308,1.7e+308
2026-09-04,15:29,EPIGRAL,955.6875,2.718,40.9434,-30.7264
2026-09-04,15:29,EPL,275.4192,2.2169,33.2446,7.7957
2026-09-04,15:29,ESABINDIA,3879.1863,2.1649,30.7687,18.4249
2026-09-04,15:29,ETERNAL,397.2212,1.8907,33.1593,-1.9444
2026-09-04,15:29,ETHOSLTD,1961.6096,2.4801,37.5117,13.6255
2026-09-04,15:29,EXCELINDUS,778.318,2.3317,35.4663,-11.285
2026-09-04,15:29,EXICOM,482.061,4.7223,60.0811,22.2925
2026-09-04,15:29,EXIDEIND,614.9022,2.129,30.0207,2.8104
2026-09-04,15:29,FAZE3Q,838.7849,2.6446,63.1307,20.1386
2026-09-04,15:29,FCL,184.7497,4.4451,59.7359,117.4335
2026-09-04,15:29,FEDERALBNK,399.702,1.4578,25.954,80.0336
2026-09-04,15:29,FILATEX,216.9367,3.2251,45.8401,40.6951
2026-09-04,15:29,FINCABLES,3091.2554,3.3072,41.8445,44.155
2026-09-04,15:29,FINEORG,7846.437,1.7309,29.5024,6.7573
2026-09-04,15:29,FLUOROCHEM,8848.6383,1.8944,31.7312,35.7903
2026-09-04,15:29,FMGOETZE,489.9372,3.056,45.2254,-10.9799
2026-09-04,15:29,FORTIS,378.3059,1.4122,26.0848,-4.5208
2026-09-04,15:29,FOSECOIND,10895.2099,2.5914,43.8892,-2.9218
2026-09-04,15:29,FUSION,163.9739,3.2163,45.6022,16.1218
2026-09-04,15:29,GABRIEL,2806.2855,2.8812,50.0209,12.6071
2026-09-04,15:29,GAEL,197.7114,2.389,36.1045,58.7456
2026-09-04,15:29,GALAPREC,1905.7936,3.3292,44.3532,25.4287
2026-09-04,15:29,GALAXYSURF,1620.5141,2.6821,35.4092,-7.6641
2026-09-04,15:29,GALLANTT,237.5264,3.7126,55.9906,-10.3265
2026-09-04,15:29,GANDHAR,648.0195,3.8182,48.9592,79.2244
2026-09-04,15:29,GANDHITUBE,1204.0673,2.0341,41.091,-10.0345
2026-09-04,15:29,GANECOS,1967.501,2.5731,50.3518,-25.2076
2026-09-04,15:29,GANESHBE,308.9705,3.2246,44.9929,28.0578
2026-09-04,15:29,GANESHHOU,240.0073,2.2826,36.1893,-11.8781
2026-09-04,15:29,GARFIBRES,1162.5156,2.5645,38.0431,4.3878
2026-09-04,15:29,GCSL,1821.4502,2.6841,1.7e+308,97.9874
2026-09-04,15:29,GEECEE,375.5153,2.1242,39.2426,-4.7099
2026-09-04,15:29,GENUSPOWER,502.9607,2.5642,41.6203,2.706
2026-09-04,15:29,GESHIP,1618.0325,2.5907,35.1458,41.039
2026-09-04,15:29,GHCLTEXTIL,409.6247,2.6597,40.2266,78.5789
2026-09-04,15:29,GIPCL,428.726,2.2016,35.9298,5.5398
2026-09-04,15:29,GKSL,455.5175,2.1753,1.7e+308,1.7e+308
2026-09-04,15:29,GLAND,7751.5501,2.6304,32.8532,54.973
2026-09-04,15:29,GLAXO,3998.2609,1.6826,25.286,6.7791
2026-09-04,15:29,GLENMARK,2911.7154,1.7251,27.1101,18.7777
2026-09-04,15:29,GLOBAL,251.1083,2.6374,43.7999,87.5292
2026-09-04,15:29,GMDCLTD,273.8068,2.9465,51.643,10.5992
2026-09-04,15:29,GMMPFAUDLR,1040.6517,2.3402,33.4112,-0.9492
2026-09-04,15:29,GNA,1292.4419,2.9052,46.2339,78.9123
2026-09-04,15:29,GNFC,821.7301,2.1347,30.4327,18.2872
2026-09-04,15:29,GOCLCORP,1094.6066,2.9169,45.5753,18.8847
2026-09-04,15:29,GODFRYPHLP,333.033,2.1606,50.9055,-44.4324
2026-09-04,15:29,GODREJAGRO,817.6988,1.7298,30.8242,-13.8592
2026-09-04,15:29,GODREJIND,1170.8878,3.3112,42.1224,-3.1949
2026-09-04,15:29,GODREJPROP,2733.7259,2.0603,35.3661,1.0297
2026-09-04,15:29,GOKEX,1437.2525,2.3701,57.0611,7.6598
2026-09-04,15:29,GOKULAGRO,485.906,2.1898,44.9165,39.7811
2026-09-04,15:29,GOLDIAM,299.8538,3.2718,54.0037,-17.1048
2026-09-04,15:29,GPTHEALTH,178.424,1.7299,25.9075,2.8614
2026-09-04,15:29,GRANULES,1756.9519,1.635,29.0134,65.878
2026-09-04,15:29,GRAPHITE,767.1545,2.2738,39.928,42.0467
2026-09-04,15:29,GRASIM,3491.5778,1.3756,22.9114,18.4736
2026-09-04,15:29,GRAVITA,692.7337,2.1451,36.504,-1.8837
